"h3_id","centroid_lat","centroid_lon","pop_census_2022","pop_ambient_2022"
"89a810722d7ffff",-23.5418349602542,-46.4754771458768,224.700435938463,67720.5109571474
"89a810070b3ffff",-23.676512588543,-46.7488222393856,794.770701726456,47342.1735485599
"89a8103b20bffff",-23.5110688533945,-46.7102562436249,15.2797031837413,65701.2885791041
"89a81038297ffff",-23.4764162638435,-46.7612423887744,1069.69743456492,13292.474977861
"89a8108c00bffff",-23.9257153365306,-46.7868547341328,2.02695489926818,NA
"89a8100c8abffff",-23.5141702918874,-46.6766881133861,166.997654454997,76810.4222984961
"89a81009937ffff",-23.5719523471928,-46.48860523675,91.1652728425546,30065.7815223761
"89a81015017ffff",-23.7711295908345,-46.7240870360908,516.479010611247,9336.86758663632
"89a81000adbffff",-23.6630014018749,-46.6443566566257,876.446171855304,50663.3310459354
"89a810120a3ffff",-23.9128800235807,-46.6701261352753,0.432844610100999,NA
"89a8100f12fffff",-23.5830790706436,-46.6144494706026,405.787799661106,82126.2794847324
"89a810889a7ffff",-23.9519307142461,-46.7172184063312,1.48064573216802,NA
"89a8100c1bbffff",-23.5504372116721,-46.6563367931652,810.923061266405,302959.830816245
"89a8107446bffff",-23.4215580968212,-46.6188769196264,0.0521323889581516,126.85510692802
"89a810062d3ffff",-23.6798062287632,-46.7764625447467,690.465586255561,48127.0690602715
"89a810119b3ffff",-23.7993094827638,-46.6453258444396,19.1528513571216,3172.77924869752
"89a81008b57ffff",-23.5753013878713,-46.516259114492,481.821320337776,41048.3217701071
"89a810171abffff",-23.8102379669206,-46.7711649517114,67.4728914342878,NA
"89a81039d3bffff",-23.4295090287871,-46.7782059548523,181.93655160375,7192.96893045439
"89a81002c6fffff",-23.7280660292004,-46.6952595642318,839.844999658007,38501.1954055822
"89a8108daafffff",-23.8630477661467,-46.7543722206059,98.0065278641805,374.734259003098
"89a8108ab3bffff",-23.9903974308644,-46.7093451786572,0.0215895269124782,NA
"89a8100e34fffff",-23.5864044257135,-46.642095182381,1394.19487941363,165513.220370574
